agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-04-13 00:00:00;2025-04-19 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;12;R$/l;4.86;0.05791189755816916;4.8;4.99;0.012,
2025-04-13 00:00:00;2025-04-19 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.73;0.1934461903771397;4.47;4.99;0.041,
2025-04-13 00:00:00;2025-04-19 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;12;R$/l;4.61;0.11724101051020733;4.27;4.69;0.025,
2025-04-13 00:00:00;2025-04-19 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;5;R$/l;5.16;0.022360679774997897;5.15;5.2;0.004,
2025-04-13 00:00:00;2025-04-19 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;26;R$/l;4.65;0.15900459596647368;4.09;4.78;0.034,
2025-04-13 00:00:00;2025-04-19 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;14;R$/l;3.95;0.16383454532472155;3.75;4.38;0.041,
2025-04-13 00:00:00;2025-04-19 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;3.94;0.047781177629611794;3.87;3.99;0.012,
2025-04-13 00:00:00;2025-04-19 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;44;R$/l;4.94;0.07014180743398125;4.64;4.99;0.014,
2025-04-13 00:00:00;2025-04-19 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;12;R$/l;5.02;0.13224174374182604;4.87;5.29;0.026,
2025-04-13 00:00:00;2025-04-19 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;45;R$/l;5.4;0.1460292623228148;4.79;5.99;0.027,
2025-04-13 00:00:00;2025-04-19 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;24;R$/l;4.82;0.11441644631959952;4.29;4.87;0.024,
2025-04-13 00:00:00;2025-04-19 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;4.63;0.03179668869182302;4.6;4.67;0.007,
2025-04-13 00:00:00;2025-04-19 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.47;0.285;5.33;5.9;0.052,
2025-04-13 00:00:00;2025-04-19 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;16;R$/l;5.04;0.026386549603917526;4.99;5.09;0.005,
