agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-06-01 00:00:00;2025-06-07 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;11;R$/l;4.95;0.038682859723185366;4.9;4.99;0.008,
2025-06-01 00:00:00;2025-06-07 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.79;0.16465873800075112;4.61;4.99;0.034,
2025-06-01 00:00:00;2025-06-07 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;38;R$/l;4.18;0.2944209786343841;3.94;4.89;0.07,
2025-06-01 00:00:00;2025-06-07 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;7;R$/l;5.15;0.01889822365046136;5.15;5.2;0.004,
2025-06-01 00:00:00;2025-06-07 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;26;R$/l;4.84;0.03922322702763681;4.65;4.85;0.008,
2025-06-01 00:00:00;2025-06-07 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;16;R$/l;3.84;0.12547078013093993;3.65;4.09;0.033,
2025-06-01 00:00:00;2025-06-07 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;3.7;0.06978664226480948;3.65;3.89;0.019,
2025-06-01 00:00:00;2025-06-07 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;42;R$/l;4.9;0.06769688882998244;4.65;4.99;0.014,
2025-06-01 00:00:00;2025-06-07 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;12;R$/l;4.94;0.14827033050846994;4.69;5.29;0.03,
2025-06-01 00:00:00;2025-06-07 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;42;R$/l;5.3;0.13612033516194155;4.79;5.59;0.026,
2025-06-01 00:00:00;2025-06-07 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;42;R$/l;4.8;0.09147043720620637;4.46;4.87;0.019,
2025-06-01 00:00:00;2025-06-07 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;4.58;0.03658189844879086;4.57;4.69;0.008,
2025-06-01 00:00:00;2025-06-07 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.37;0.14854853303438129;5.28;5.59;0.028,
2025-06-01 00:00:00;2025-06-07 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;17;R$/l;5.14;0.05584906129075782;4.94;5.19;0.011,
