agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-06-08 00:00:00;2025-06-14 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;11;R$/l;4.95;0.038682859723185366;4.9;4.99;0.008,
2025-06-08 00:00:00;2025-06-14 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.79;0.16465873800075112;4.61;4.99;0.034,
2025-06-08 00:00:00;2025-06-14 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;36;R$/l;4.21;0.33498673273894164;3.73;4.89;0.08,
2025-06-08 00:00:00;2025-06-14 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;8;R$/l;5.15;0.017677669529663688;5.15;5.2;0.003,
2025-06-08 00:00:00;2025-06-14 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;25;R$/l;4.84;0.01319090595827292;4.79;4.85;0.003,
2025-06-08 00:00:00;2025-06-14 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;16;R$/l;3.81;0.11026483271348728;3.65;3.99;0.029,
2025-06-08 00:00:00;2025-06-14 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;3.71;0.07238622853741826;3.63;3.89;0.02,
2025-06-08 00:00:00;2025-06-14 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;41;R$/l;4.86;0.047709742319521305;4.65;4.89;0.01,
2025-06-08 00:00:00;2025-06-14 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;10;R$/l;4.89;0.10733643887846807;4.69;4.99;0.022,
2025-06-08 00:00:00;2025-06-14 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;45;R$/l;5.27;0.14848153985182022;4.69;5.59;0.028,
2025-06-08 00:00:00;2025-06-14 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;41;R$/l;4.69;0.21156847475981652;4.19;4.87;0.045,
2025-06-08 00:00:00;2025-06-14 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;4.58;0.03658189844879086;4.57;4.69;0.008,
2025-06-08 00:00:00;2025-06-14 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.37;0.14854853303438129;5.28;5.59;0.028,
2025-06-08 00:00:00;2025-06-14 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;16;R$/l;5.05;0.09127796375175483;4.97;5.19;0.018,
