agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-06-22 00:00:00;2025-06-28 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;11;R$/l;4.95;0.038682859723185366;4.9;4.99;0.008,
2025-06-22 00:00:00;2025-06-28 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.8;0.15700318468107582;4.62;4.99;0.033,
2025-06-22 00:00:00;2025-06-28 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;38;R$/l;4.39;0.20260062389409358;3.86;4.89;0.046,
2025-06-22 00:00:00;2025-06-28 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;8;R$/l;5.15;0.017677669529663688;5.15;5.2;0.003,
2025-06-22 00:00:00;2025-06-28 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;27;R$/l;4.68;0.10769271469194562;4.54;4.85;0.023,
2025-06-22 00:00:00;2025-06-28 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;18;R$/l;3.79;0.1206355717708114;3.64;3.99;0.032,
2025-06-22 00:00:00;2025-06-28 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;3.77;0.07304568785780502;3.63;3.99;0.019,
2025-06-22 00:00:00;2025-06-28 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;43;R$/l;4.86;0.049391647914611335;4.65;4.89;0.01,
2025-06-22 00:00:00;2025-06-28 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;11;R$/l;4.87;0.12442595461485591;4.69;4.99;0.026,
2025-06-22 00:00:00;2025-06-28 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;45;R$/l;5.31;0.1358575457134153;4.79;5.59;0.026,
2025-06-22 00:00:00;2025-06-28 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;40;R$/l;4.58;0.14770010329319513;3.99;4.79;0.032,
2025-06-22 00:00:00;2025-06-28 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;16;R$/l;4.56;0.04871686908385363;4.53;4.69;0.011,
2025-06-22 00:00:00;2025-06-28 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.37;0.14854853303438129;5.28;5.59;0.028,
2025-06-22 00:00:00;2025-06-28 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;17;R$/l;4.83;0.19556855274693172;4.62;5.19;0.04,
