agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-02-16 00:00:00;2025-02-22 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;12;R$/l;4.87;0.07088189066498174;4.8;4.99;0.015,
2025-02-16 00:00:00;2025-02-22 00:00:00;PARA;BELEM;ETANOL HIDRATADO;8;R$/l;4.75;0.18094987466936016;4.52;4.99;0.038,
2025-02-16 00:00:00;2025-02-22 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;37;R$/l;4.63;0.13469685684247887;4.37;4.89;0.029,
2025-02-16 00:00:00;2025-02-22 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;5;R$/l;5.2;0.05;5.15;5.25;0.01,
2025-02-16 00:00:00;2025-02-22 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;26;R$/l;4.8;0.042326569215310396;4.76;4.89;0.009,
2025-02-16 00:00:00;2025-02-22 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;14;R$/l;4.02;0.11366037708313886;3.89;4.38;0.028,
2025-02-16 00:00:00;2025-02-22 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;4.03;0.07088414070515896;3.95;4.17;0.018,
2025-02-16 00:00:00;2025-02-22 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;41;R$/l;4.95;0.06798672754259628;4.69;4.99;0.014,
2025-02-16 00:00:00;2025-02-22 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;11;R$/l;4.99;0.1072719568539361;4.87;5.29;0.021,
2025-02-16 00:00:00;2025-02-22 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;44;R$/l;4.93;0.15876705182179976;4.59;5.39;0.032,
2025-02-16 00:00:00;2025-02-22 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;17;R$/l;4.83;0.07266967973605758;4.57;4.87;0.015,
2025-02-16 00:00:00;2025-02-22 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;16;R$/l;4.66;0.017594980344783944;4.64;4.69;0.004,
2025-02-16 00:00:00;2025-02-22 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;4;R$/l;5.47;0.285;5.33;5.9;0.052,
2025-02-16 00:00:00;2025-02-22 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;18;R$/l;4.98;0.014641689962819192;4.94;4.99;0.003,
