agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2024-12-29 00:00:00;2025-01-04 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;14;R$/l;4.34;0.15302983979646542;4.2;4.79;0.035,
2024-12-29 00:00:00;2025-01-04 00:00:00;PARA;BELEM;ETANOL HIDRATADO;9;R$/l;4.69;0.15748015748023622;4.44;4.89;0.034,
2024-12-29 00:00:00;2025-01-04 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;37;R$/l;4.34;0.18882877510142967;4.15;4.69;0.043,
2024-12-29 00:00:00;2025-01-04 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;3;R$/l;5.16;0.02886751345948129;5.15;5.2;0.006,
2024-12-29 00:00:00;2025-01-04 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;4;R$/l;4.26;0.20615528128088303;4.09;4.49;0.048,
2024-12-29 00:00:00;2025-01-04 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;18;R$/l;3.79;0.11274936053323582;3.59;3.97;0.03,
2024-12-29 00:00:00;2025-01-04 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;19;R$/l;3.82;0.04723959088908816;3.77;3.89;0.012,
2024-12-29 00:00:00;2025-01-04 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;41;R$/l;4.64;0.063135549106471;4.47;4.69;0.014,
2024-12-29 00:00:00;2025-01-04 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;10;R$/l;4.74;0.1172651316935734;4.62;4.99;0.025,
2024-12-29 00:00:00;2025-01-04 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;46;R$/l;4.71;0.25482673852377946;4.35;5.25;0.054,
2024-12-29 00:00:00;2025-01-04 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;44;R$/l;4.53;0.06568350985772947;4.19;4.59;0.014,
2024-12-29 00:00:00;2025-01-04 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;3.97;0.07492152757464071;3.92;4.19;0.019,
2024-12-29 00:00:00;2025-01-04 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;3;R$/l;5.29;0.3117691453623979;5.11;5.65;0.059,
2024-12-29 00:00:00;2025-01-04 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;19;R$/l;4.5;0.04776281555465091;4.36;4.59;0.011,
