agência_nacional_do_petróleo,gás_natural_e_biocombustíveis__anpunnamed_1unnamed_2unnamed_3unnamed_4unnamed_5unnamed_6unnamed_7unnamed_8unnamed_9unnamed_10unnamed_11
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;,
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;,
;;;;;;;;;;;,
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;,
COMBUSTÍVEL: TODOS;;;;;;;;;;;,
TIPO RELATÓRIO: CAPITAIS;;;;OBS: ATUALMENTE,O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA,
2025-01-12 00:00:00;2025-01-18 00:00:00;SERGIPE;ARACAJU;ETANOL HIDRATADO;12;R$/l;4.6;0.09922426389474777;4.4;4.79;0.022,
2025-01-12 00:00:00;2025-01-18 00:00:00;PARA;BELEM;ETANOL HIDRATADO;9;R$/l;4.59;0.2143465522103037;4.29;4.89;0.047,
2025-01-12 00:00:00;2025-01-18 00:00:00;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;38;R$/l;4.39;0.22779104997048763;4.09;4.89;0.052,
2025-01-12 00:00:00;2025-01-18 00:00:00;RORAIMA;BOA VISTA;ETANOL HIDRATADO;4;R$/l;5.13;0.06291528696058958;5.05;5.2;0.012,
2025-01-12 00:00:00;2025-01-18 00:00:00;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;29;R$/l;3.98;0.04968868600840014;3.92;4.09;0.012,
2025-01-12 00:00:00;2025-01-18 00:00:00;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;15;R$/l;3.81;0.09764854374356075;3.63;3.99;0.026,
2025-01-12 00:00:00;2025-01-18 00:00:00;MATO GROSSO;CUIABA;ETANOL HIDRATADO;18;R$/l;3.94;0.06717453610300257;3.79;3.99;0.017,
2025-01-12 00:00:00;2025-01-18 00:00:00;PARANA;CURITIBA;ETANOL HIDRATADO;44;R$/l;4.66;0.05135170772072819;4.47;4.69;0.011,
2025-01-12 00:00:00;2025-01-18 00:00:00;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;11;R$/l;4.77;0.10875326536372473;4.64;4.99;0.023,
2025-01-12 00:00:00;2025-01-18 00:00:00;CEARA;FORTALEZA;ETANOL HIDRATADO;44;R$/l;4.68;0.2210067298297071;4.35;5.25;0.047,
2025-01-12 00:00:00;2025-01-18 00:00:00;GOIAS;GOIANIA;ETANOL HIDRATADO;42;R$/l;4.6;0.14726070176973316;4.25;4.87;0.032,
2025-01-12 00:00:00;2025-01-18 00:00:00;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;17;R$/l;4.29;0.050860246813030245;4.26;4.39;0.012,
2025-01-12 00:00:00;2025-01-18 00:00:00;AMAPA;MACAPA;ETANOL HIDRATADO;3;R$/l;5.29;0.3117691453623979;5.11;5.65;0.059,
2025-01-12 00:00:00;2025-01-18 00:00:00;ALAGOAS;MACEIO;ETANOL HIDRATADO;17;R$/l;4.64;0.08785850924673616;4.45;4.69;0.019,
